drugName,condition,review,rating,usefulCount,sentiment
Amoxicillin,Infection,infection treatment antibiotic course antimicrobial did not work side effects severe bad ineffective poor,2,114,negative
Sertraline,Depression,depressive episode treatment medication mood stabilizer great effective works well improved better excellent highly recommend,9,302,positive
Omeprazole,GERD,heartburn acid reflux stomach burning gastroesophageal did not work side effects severe bad ineffective poor,2,258,negative
Ibuprofen,Pain,arthritis pain swelling relief pain management very effective notable improvement highly satisfied,8,112,positive
Armour Thyroid,Hypothyroidism,thyroid fatigue weight gain cold sensitivity underactive okay moderate average side effects tolerable mixed results,6,357,neutral
Ranitidine,GERD,heartburn acid reflux stomach burning gastroesophageal works somewhat decent average improvement moderate results,6,52,neutral
Metoprolol,Hypertension,systolic diastolic pressure management hypertension bp reduction severe reaction stopped using poor results disappointing,4,135,negative
Jardiance,Diabetes Type 2,blood glucose control diabetes medication hyperglycemia fatigue weight management great effective works well improved better excellent highly recommend,8,282,positive
Salmeterol,Asthma,respiratory bronchodilator breathing difficulty asthma attack amazing results works perfectly symptoms gone life changing,10,360,positive
Lisinopril,Hypertension,systolic diastolic pressure management hypertension bp reduction great effective works well improved better excellent highly recommend,9,437,positive
Alprazolam,Anxiety,anxious overthinking stress generalized anxiety disorder acceptable results some side effects overall manageable,7,427,neutral
Topiramate,Migraine,severe headache throbbing migraine aura nausea light sensitivity acceptable results some side effects overall manageable,7,136,neutral
Atorvastatin,High Cholesterol,high cholesterol LDL statin cardiovascular lipid amazing results works perfectly symptoms gone life changing,8,83,positive
Liothyronine,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function acceptable results some side effects overall manageable,6,285,neutral
Clonazepam,Anxiety,anxiety panic attack worry restless nervous amazing results works perfectly symptoms gone life changing,9,420,positive
Januvia,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management okay moderate average side effects tolerable mixed results,7,467,neutral
Acetaminophen,Pain,chronic pain NSAID anti-inflammatory joint muscle pain works somewhat decent average improvement moderate results,5,452,neutral
Doxycycline,Infection,bacterial infection antibiotic fever chills body ache did not work side effects severe bad ineffective poor,4,381,negative
Doxepin,Insomnia,insomnia sleep disturbance treatment sleep aid works somewhat decent average improvement moderate results,6,459,neutral
Tramadol,Pain,pain relief inflammation painkiller analgesic treatment acceptable results some side effects overall manageable,7,252,neutral
Lisinopril,Hypertension,high blood pressure headache dizziness antihypertensive amazing results works perfectly symptoms gone life changing,10,405,positive
Doxycycline,Infection,infection treatment antibiotic course antimicrobial very effective notable improvement highly satisfied,8,305,positive
Armour Thyroid,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function okay moderate average side effects tolerable mixed results,6,348,neutral
Atorvastatin,High Cholesterol,lipid lowering medication heart risk cholesterol management fantastic medication excellent results quick relief,9,393,positive
Ciprofloxacin,Infection,infection treatment antibiotic course antimicrobial did not work side effects severe bad ineffective poor,4,232,negative
Januvia,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management great effective works well improved better excellent highly recommend,10,445,positive
Ciprofloxacin,Infection,fever body ache infection clearing antibiotic amazing results works perfectly symptoms gone life changing,9,78,positive
Topiramate,Migraine,pulsating head pain migraine medication sound sensitivity great effective works well improved better excellent highly recommend,8,306,positive
Amitriptyline,Migraine,migraine attack pain relief cluster headache terrible side effects worsened no improvement not recommended,1,122,negative
Glipizide,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management great effective works well improved better excellent highly recommend,10,374,positive
Levothyroxine,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function amazing results works perfectly symptoms gone life changing,10,65,positive
Doxycycline,Infection,bacterial infection antibiotic fever chills body ache fantastic medication excellent results quick relief,10,270,positive
Tramadol,Pain,arthritis pain swelling relief pain management amazing results works perfectly symptoms gone life changing,10,365,positive
Budesonide,Asthma,breathing problem airway inflammation asthma medication fantastic medication excellent results quick relief,10,224,positive
Eszopiclone,Insomnia,sleep insomnia waking night trouble falling asleep did not work side effects severe bad ineffective poor,4,173,negative
Ozempic,Diabetes Type 2,sugar levels stabilized diabetes treatment glycated hemoglobin HbA1c control amazing results works perfectly symptoms gone life changing,8,3,positive
Lisinopril,Hypertension,high blood pressure headache dizziness antihypertensive works somewhat decent average improvement moderate results,5,36,neutral
Trazodone,Insomnia,sleep disorder medication sedative sleep quality okay moderate average side effects tolerable mixed results,6,276,neutral
Venlafaxine,Depression,sadness hopeless mood antidepressant serotonin very effective notable improvement highly satisfied,8,413,positive
Pantoprazole,GERD,acid indigestion heartburn relief antacid medication terrible side effects worsened no improvement not recommended,4,181,negative
Lansoprazole,GERD,acid indigestion heartburn relief antacid medication great effective works well improved better excellent highly recommend,8,344,positive
Amoxicillin,Infection,fever body ache infection clearing antibiotic terrible side effects worsened no improvement not recommended,3,409,negative
Amlodipine,Hypertension,cardiovascular pressure heart rate blood pressure medication works somewhat decent average improvement moderate results,5,71,neutral
Pantoprazole,GERD,heartburn acid reflux stomach burning gastroesophageal okay moderate average side effects tolerable mixed results,6,226,neutral
Zolpidem,Insomnia,insomnia sleep disturbance treatment sleep aid did not work side effects severe bad ineffective poor,3,496,negative
Amlodipine,Hypertension,systolic diastolic pressure management hypertension bp reduction works somewhat decent average improvement moderate results,5,109,neutral
Omeprazole,GERD,heartburn acid reflux stomach burning gastroesophageal works somewhat decent average improvement moderate results,5,135,neutral
Liothyronine,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function acceptable results some side effects overall manageable,7,338,neutral
Pravastatin,High Cholesterol,cholesterol reduction hypercholesterolemia HDL triglycerides okay moderate average side effects tolerable mixed results,5,495,neutral
Ozempic,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management fantastic medication excellent results quick relief,9,29,positive
Ozempic,Diabetes Type 2,sugar levels stabilized diabetes treatment glycated hemoglobin HbA1c control amazing results works perfectly symptoms gone life changing,8,29,positive
Zolpidem,Insomnia,sleep insomnia waking night trouble falling asleep great effective works well improved better excellent highly recommend,10,345,positive
Lorazepam,Anxiety,nervousness tension panic medication anxiety relief did not work side effects severe bad ineffective poor,4,296,negative
Ibuprofen,Pain,chronic pain NSAID anti-inflammatory joint muscle pain fantastic medication excellent results quick relief,8,478,positive
Fluticasone,Asthma,respiratory bronchodilator breathing difficulty asthma attack amazing results works perfectly symptoms gone life changing,9,135,positive
Pantoprazole,GERD,stomach acid regurgitation throat burn esophagus proton pump very effective notable improvement highly satisfied,9,161,positive
Lisinopril,Hypertension,cardiovascular pressure heart rate blood pressure medication great effective works well improved better excellent highly recommend,8,37,positive
Trazodone,Insomnia,sleep insomnia waking night trouble falling asleep fantastic medication excellent results quick relief,8,451,positive
Amlodipine,Hypertension,high blood pressure headache dizziness antihypertensive works somewhat decent average improvement moderate results,7,426,neutral
Melatonin,Insomnia,insomnia sleep disturbance treatment sleep aid great effective works well improved better excellent highly recommend,8,341,positive
Melatonin,Insomnia,sleep insomnia waking night trouble falling asleep amazing results works perfectly symptoms gone life changing,10,135,positive
Lisinopril,Hypertension,high blood pressure headache dizziness antihypertensive fantastic medication excellent results quick relief,9,144,positive
Naproxen,Pain,pain relief inflammation painkiller analgesic treatment fantastic medication excellent results quick relief,9,258,positive
Liothyronine,Hypothyroidism,thyroid fatigue weight gain cold sensitivity underactive great effective works well improved better excellent highly recommend,10,324,positive
Ranitidine,GERD,stomach acid regurgitation throat burn esophagus proton pump did not work side effects severe bad ineffective poor,2,326,negative
Fluticasone,Asthma,breathing problem airway inflammation asthma medication very effective notable improvement highly satisfied,9,287,positive
Metformin,Diabetes Type 2,sugar levels stabilized diabetes treatment glycated hemoglobin HbA1c control did not work side effects severe bad ineffective poor,3,279,negative
Januvia,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management very effective notable improvement highly satisfied,8,65,positive
